id,home_team,away_team,home_team_goal,away_team_goal,goal_differential
4389,Arsenal,West Ham United,0,2,-2
4399,Arsenal,Everton,2,1,1
4419,Arsenal,Tottenham Hotspur,1,1,0
4449,Arsenal,Sunderland,3,1,2
4469,Arsenal,Manchester City,2,1,1
4489,Arsenal,Bournemouth,2,0,2
4509,Arsenal,Newcastle United,1,0,1
4539,Arsenal,Chelsea,0,1,-1
4549,Arsenal,Southampton,0,0,0
4569,Arsenal,Leicester City,2,1,1
4589,Arsenal,Swansea City,1,2,-1
4609,Arsenal,Liverpool,0,0,0
4619,Arsenal,West Bromwich Albion,2,0,2
4639,Arsenal,Watford,4,0,4
4659,Arsenal,Crystal Palace,1,1,0
4679,Arsenal,Norwich City,1,0,1
4699,Arsenal,Aston Villa,4,0,4
4719,Arsenal,Stoke City,2,0,2
4749,Arsenal,Manchester United,3,0,3
4400,Aston Villa,Swansea City,1,2,-1
4420,Aston Villa,Manchester City,0,0,0
4439,Aston Villa,Watford,2,3,-1
4459,Aston Villa,Arsenal,0,2,-2
4479,Aston Villa,West Ham United,1,1,0
4499,Aston Villa,Manchester United,0,1,-1
4519,Aston Villa,Crystal Palace,1,0,1
4529,Aston Villa,Leicester City,1,1,0
4559,Aston Villa,Norwich City,2,0,2
4570,Aston Villa,Liverpool,0,6,-6
4590,Aston Villa,Everton,1,3,-2
4620,Aston Villa,Tottenham Hotspur,0,2,-2
4640,Aston Villa,Chelsea,0,4,-4
4649,Aston Villa,Bournemouth,1,2,-1
4669,Aston Villa,Southampton,2,4,-2
4689,Aston Villa,Newcastle United,0,0,0
4709,Aston Villa,Sunderland,2,2,0
4729,Aston Villa,West Bromwich Albion,0,1,-1
4750,Aston Villa,Stoke City,0,1,-1
4390,Bournemouth,Aston Villa,0,1,-1
4401,Bournemouth,Tottenham Hotspur,1,5,-4
4421,Bournemouth,Newcastle United,0,1,-1
4440,Bournemouth,Everton,3,3,0
4460,Bournemouth,Manchester United,2,1,1
4480,Bournemouth,Crystal Palace,0,0,0
4520,Bournemouth,West Ham United,1,3,-2
4530,Bournemouth,Norwich City,3,0,3
4560,Bournemouth,Arsenal,0,2,-2
